lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
138.674578,-34.882453,Morialta, ;  Full Wheelchair Access,St Francis of Assisi School,,0,57 Newton Road NEWTON SA,,SA,Newton,0,0,,,,,,,
138.603999,-34.8820002,Enfield,Balfour Street;  Full Wheelchair Access,Nailsworth Primary School,,0,2 Balfour St NAILSWORTH SA,,SA,Nailsworth,0,0,,,,,,,
138.665971,-34.817768,Playford, ;  Assisted Wheelchair Access,East Para Primary School,,0,12 Caroona Ave PARA HILLS SA,,SA,Para Hills East,0,0,,,,,,,
138.5431356,-35.1296395,Reynell, ;  Full Wheelchair Access,Coorara Primary School,,0,Taylors Ave MORPHETT VALE SA,,SA,Onkaparinga Hills,0,0,,,,,,,
138.5365811,-35.1001313,Mitchell, ;  Full Wheelchair Access,Reynella Primary School,,0,55-63 Concord Dr OLD REYNELLA SA,,SA,Old Reynella,0,0,,,,,,,
138.5011079,-35.1833542,Mawson,enter from Patapinda Rd;  Assisted Wheelchair Access,Old Noarlunga Primary School,,0,Malpas St OLD NOARLUNGA SA,,SA,Old Noarlunga,0,0,,,,,,,
138.0072533,-33.8653722,Frome, ;  Assisted Wheelchair Access,Bute Institute,,0,17 Railway Tce BUTE SA,,SA,Bute,0,0,,,,,,,
139.7636887,-34.0386285,Stuart, ;  Assisted Wheelchair Access,Cadell Institute,,0,McGuire Tce CADELL SA,,SA,Cadell,0,0,,,,,,,
138.531529,-35.211884,Mawson,enter from Caffrey St;  Full Wheelchair Access,McLaren Vale Primary School,,0,249 Main Rd MCLAREN VALE SA,,SA,McLaren Vale,1,0,,,,,,,
138.7538219,-35.1824315,Heysen, ;  Full Wheelchair Access,Meadows Memorial Hall,,0,Mawson Rd MEADOWS SA,,SA,Meadows,0,0,,,,,,,
138.5413205,-34.9625834,Ashford, ;  Full Wheelchair Access,Camden Park Scout Hall,,0,Cnr Deeds Rd & Bristol Ave CAMDEN PARK SA,,SA,Camden Park,0,0,,,,,,,
138.662208,-34.879316,Hartley,Parking off Rowney Avenue.;  Full Wheelchair Access,Uniting Church Hall Campbelltown,,0,607 Lower North East Rd CAMPBELLTOWN SA,,SA,Campbelltown,0,0,,,,,,,
138.1082183,-35.6044196,Finniss, ;  Full Wheelchair Access,"Cape Jervis Community , Recreation & Sporting Club",,0,Ransford Street CAPE JERVIS SA,,SA,Cape Jervis,0,0,,,,,,,
140.4345842,-37.8966014,Mount Gambier, ;  Assisted Wheelchair Access,Carpenter Rocks Recreation Hall,,0,Carpenter Rocks Rd CARPENTER ROCKS SA,,SA,Carpenter Rocks,0,0,,,,,,,
138.8779223,-34.1283231,Frome, ;  Assisted Wheelchair Access,Marrabel District Hall,,0,Main Rd MARRABEL SA,,SA,Marrabel,0,0,,,,,,,
138.4792021,-35.2253842,Kaurna, ;  Full Wheelchair Access,Maslin Beach Community Hall,,0,Parkway Dr MASLIN BEACH SA,,SA,Maslin Beach,0,0,,,,,,,
136.980977,-35.237355,Goyder, ;  Full Wheelchair Access,Marion Bay Community Hall,,0,10 Slow St MARION BAY SA,,SA,Marion Bay,0,0,,,,,,,
138.555315,-35.0120821,Elder, ;  Full Wheelchair Access,Marion Uniting Church,,0,Township Rd MARION SA,,SA,Marion South,0,0,,,,,,,
138.6360078,-34.9126305,Dunstan,access via Dover St;  No Wheelchair Access,New Life Christian Community Church,,0,17a Augusta St MAYLANDS SA,,SA,Maylands,0,0,,,,,,,
138.5869084,-35.2067099,Mawson, ;  Assisted Wheelchair Access,McLaren Flat Memorial Hall,,0,Main Rd MCLAREN FLAT SA,,SA,McLaren Flat,0,0,,,,,,,
138.6114386,-34.8181121,Port Adelaide, ;  Full Wheelchair Access,Mawson Lakes UNISA Sports Centre,,0,Mawson Lakes Blvd MAWSON LAKES SA,,SA,Mawson Lakes,0,0,,,,,,,
138.6149237,-34.8086732,Port Adelaide, ;  Full Wheelchair Access,Mawson Lakes School,,0,Garden Tce MAWSON LAKES SA,,SA,Mawson Lakes North,0,0,,,,,,,
138.7054245,-34.8345115,Newland, ;  Full Wheelchair Access,Ardtornish Primary School,,0,Saarinen Ave ST AGNES SA,,SA,St Agnes West,0,0,,,,,,,
138.557766,-34.979012,Elder, ;  Full Wheelchair Access,Forbes Primary School,,0,80 Thomas St SOUTH PLYMPTON SA,,SA,South Plympton,0,0,,,,,,,
137.5456819,-33.0199429,Giles,Enter via Schulz Ave;  Assisted Wheelchair Access,Hincks Ave Primary School,,0,Cnr Hincks & Schulze Ave WHYALLA NORRIE SA,,SA,Whyalla Norrie North,0,0,,,,,,,
137.5331059,-33.0161654,Giles, ;  Assisted Wheelchair Access,Fisk St Primary School,,0,Pattinson Cl WHYALLA NORRIE SA,,SA,Whyalla Norrie North-West,0,0,,,,,,,
137.5674614,-33.0339079,Giles, ;  Assisted Wheelchair Access,Memorial Oval Primary School,,0,Cnr Bradford & Lockhart Sts WHYALLA SA,,SA,Whyalla Central West,0,0,,,,,,,
137.5511059,-33.0281753,Giles,Enter from car park on Norrie Ave;  Assisted Wheelchair Access,Nicolson Ave Primary School,,0,Cnr Nicolson & Norrie Ave WHYALLA NORRIE SA,,SA,Whyalla Norrie East,0,0,,,,,,,
140.7287149,-36.5816324,MacKillop, ;  No Wheelchair Access,Western Flat Hall,,0,Bordertown-Naracoorte Rd WESTERN FLAT SA,,SA,Western Flat,0,0,,,,,,,
137.5859526,-33.0362689,Giles,Enter via Broadbent Tce. Disabled access via Walls St.;  Assisted Wheelchair Access,Whyalla Town Primary School,,0,3-9 Walls St WHYALLA SA,,SA,Whyalla Central East,0,0,,,,,,,
138.4821239,-34.8643201,Lee, ;  Full Wheelchair Access,West Lakes Shore Primary School,,0,Edwin St WEST LAKES SHORE SA,,SA,West Lakes Shore,0,0,,,,,,,
138.54844,-34.930743,West Torrens, ;  Assisted Wheelchair Access,Adelaide College of Divinity,,0,34 Lipsett Tce BROOKLYN PARK SA,,SA,West Richmond,0,0,,,,,,,
138.559167,-34.889366,Croydon, ;  Full Wheelchair Access,West Croydon United Church,,1,40 Rosetta St WEST CROYDON SA,,SA,West Croydon,0,1,"Plus tea, cream puffs and more",,,,,,
138.5628353,-34.9040582,Croydon,enter via Albermarle Street;  Full Wheelchair Access,St Joseph's School,,0,56 Albemarle St WEST HINDMARSH SA,,SA,West Hindmarsh,0,0,,,,,,,
138.588912,-34.951508,Unley, ;  Full Wheelchair Access,Goodwood Primary School,,1,140 Goodwood Rd GOODWOOD SA,,SA,Goodwood,0,0,,,,,,,
138.49588,-34.902423,Lee, ;  Full Wheelchair Access,Grange Primary School,,0,39a Jetty St GRANGE SA,,SA,Grange,0,0,,,,,,,
138.708397,-34.767947,Wright, ;  Full Wheelchair Access,Salvation Army,,0,1681 Golden Grove Rd GREENWITH SA,,SA,Greenwith West,0,0,,,,,,,
138.6678396,-34.7916168,Playford,Gym;  Assisted Wheelchair Access,Gulfview Heights Primary School,,0,Kiekebusch Rd GULFVIEW HEIGHTS SA,,SA,Gulfview Heights,0,0,,,,,,,
138.666258,-34.913279,Hartley, ;  Assisted Wheelchair Access,St Joseph's School,,0,1 Birkinshaw Ave TRANMERE SA,,SA,Tranmere,0,0,,,,,,,
138.563046,-34.917287,West Torrens, ;  Assisted Wheelchair Access,Thebarton Senior College,,1,40 Ashley St TORRENSVILLE SA,,SA,Torrensville,0,0,,,,,,,
138.700704,-34.853403,Newland, ;  Full Wheelchair Access,Turramurra Recreation Centre,,0,1000 Lower North East Rd HIGHBURY SA,,SA,Highbury,0,0,,,,,,,
138.6501329,-34.9256779,Bragg, ;  Assisted Wheelchair Access,Marryatville Primary School,,0,54 Dankel Ave KENSINGTON SA,,SA,Kensington,0,0,,,,,,,
138.7267785,-34.822401,Newland, ;  Full Wheelchair Access,Tea Tree Gully Primary School,,1,Memorial Dr TEA TREE GULLY SA,,SA,Tea Tree Gully,0,0,,,,,,,
140.7920329,-37.6494754,Mount Gambier, ;  Assisted Wheelchair Access,Tarpeena Community Hall,,0,Riddoch Highway TARPEENA SA,,SA,Tarpeena,0,0,,,,,,,
140.0847197,-35.9054731,MacKillop, ;  Assisted Wheelchair Access,Tintinara War Memorial Institute,,0,Dukes Hwy TINTINARA SA,,SA,Tintinara,0,0,,,,,,,
138.9193351,-33.150367,Stuart, ;  Assisted Wheelchair Access,Terowie Institute,,0,Cnr Main & Besanko Sts TEROWIE SA,,SA,Terowie,0,0,,,,,,,
138.4964568,-34.8042902,Port Adelaide, ;  Assisted Wheelchair Access,Ocean View College,,0,Gedville Rd TAPEROO SA,,SA,Taperoo,0,0,,,,,,,
138.9925514,-34.5113795,Schubert, ;  Full Wheelchair Access,Tanunda Primary School,,0,Research Rd TANUNDA SA,,SA,Tanunda,0,0,,,,,,,
138.7613909,-34.2664243,Frome, ;  Assisted Wheelchair Access,Tarlee Community Hall,,0,3475 Horrocks Highway TARLEE SA,,SA,Tarlee,0,0,,,,,,,
138.53053,-34.844174,Port Adelaide,enter via Railway Terrace;  Assisted Wheelchair Access,Our Lady of Visitation,,0,15 Railway Tce TAPEROO SA,,SA,Taperoo East,0,0,,,,,,,
138.885542,-34.82172,Kavel, ;  Assisted Wheelchair Access,Torrens Valley Community Centre,,0,45 Albert St GUMERACHA SA,,SA,Gumeracha,0,0,,,,,,,
138.5167679,-35.1419611,Mawson, ;  Full Wheelchair Access,Hackham West R-7 School,,0,50 Glynville Dr HACKHAM WEST SA,,SA,Hackham West,0,0,,,,,,,
138.6260823,-34.8716331,Torrens,enter via Karoomba Avenue;  Full Wheelchair Access,Hampstead Primary School,,0,38 Muller Rd GREENACRES SA,,SA,Greenacres,0,0,,,,,,,
138.629007,-34.866952,Torrens, ;  No Wheelchair Access,St Martin's Parish Primary School,,0,66-80 Princes Rd GREENACRES SA,,SA,Greenacres North,0,0,,,,,,,
138.9271213,-34.4574849,Schubert, ;  Full Wheelchair Access,Greenock Institute,,0,Kapunda Rd GREENOCK SA,,SA,Greenock,0,0,,,,,,,
138.7163789,-34.7680815,Wright, ;  Full Wheelchair Access,Greenwith Primary School,,0,Golden Grove Rd GREENWITH SA,,SA,Greenwith,0,0,,,,,,,
138.6977251,-34.79465,Wright,Dame Roma Mitchell Centre;  Assisted Wheelchair Access,Golden Grove High School,,0,Adey Pl GOLDEN GROVE SA,,SA,Golden Grove Central,0,0,,,,,,,
138.706119,-34.7883024,Wright,Gym - enter via Botany Drive;  Assisted Wheelchair Access,Golden Grove Primary School,,1,Bicentennial Dr GOLDEN GROVE SA,,SA,Golden Grove East,0,0,,,,,,,
138.7755212,-35.501262,Hammond, ;  Full Wheelchair Access,Goolwa Primary School,,0,Gardiner St GOOLWA SA,,SA,Goolwa,0,0,,,,,,,
138.778499,-35.5044,Hammond, ;  Assisted Wheelchair Access,Goolwa Uniting Church Hall,,0,1 Collingwood St GOOLWA SA,,SA,Goolwa Central,0,0,,,,,,,
138.67363,-34.6802379,Napier, ;  Full Wheelchair Access,John Hartley School,,0,199 Peachey Rd SMITHFIELD PLAINS SA,,SA,Smithfield Plains,0,0,,,,,,,
138.74901,-35.019445,Heysen, ;  Full Wheelchair Access,Aldgate Primary School,,0,3 Fairview Rd ALDGATE SA,,SA,Aldgate,0,0,,,,,,,
138.856842,-35.074275,Heysen, ;  Assisted Wheelchair Access,Mount Barker High School,,0,2 Wellington Rd MOUNT BARKER SA,,SA,Mount Barker,0,0,,,,,,,
138.543605,-34.9955958,Elder, ;  Assisted Wheelchair Access,Marion Sports & Leisure,,0,Oaklands Road MORPHETTVILLE SA,,SA,Morphettville,0,0,,,,,,,
138.603999,-34.8820002,Adelaide,Balfour Street;  Full Wheelchair Access,Nailsworth Primary School,,0,2 Balfour St NAILSWORTH SA,,SA,Nailsworth,0,0,,,,,,,
138.8581834,-35.0808965,Heysen, ;  Full Wheelchair Access,Mount Barker South Primary School,,0,Princes Rd MOUNT BARKER SA,,SA,Mount Barker South,0,0,,,,,,,
137.877778,-34.574534,Goyder, ;  Assisted Wheelchair Access,Pine Point Institute,,0,50 Main Coast Rd PINE POINT SA,,SA,Pine Point,0,0,,,,,,,
138.5289938,-35.1140558,Reynell, ;  Full Wheelchair Access,Pimpala Primary School,,0,24 Vanstone Ave MORPHETT VALE SA,,SA,Pimpala,0,0,,,,,,,
138.725973,-34.98212,Bragg, ;  Assisted Wheelchair Access,Piccadilly Community Hall,,0,171 Piccadilly Rd PICCADILLY SA,,SA,Piccadilly,0,0,,,,,,,
138.838093,-32.973511,Stuart, ;  Assisted Wheelchair Access,Peterborough Town Hall,,0,108 Main St PETERBOROUGH SA,,SA,Peterborough,0,0,,,,,,,
140.8354291,-37.3792776,MacKillop, ;  Assisted Wheelchair Access,Penola RSL Hall,,0,Young St PENOLA SA,,SA,Penola,0,0,,,,,,,
138.5321416,-34.8568533,Cheltenham, ;  Full Wheelchair Access,Pennington Primary School,,1,Butler Ave PENNINGTON SA,,SA,Pennington,0,0,,,,,,,
137.9314472,-35.7199274,Finniss, ;  Full Wheelchair Access,Penneshaw Area School,,0,Howard Dr PENNESHAW SA,,SA,Penneshaw,0,0,,,,,,,
137.9023781,-34.0389353,Goyder, ;  Full Wheelchair Access,Paskeville Community Centre,,0,Railway Tce PASKEVILLE SA,,SA,Paskeville,0,0,,,,,,,
138.5551366,-34.9702183,Ashford, ;  Full Wheelchair Access,Plympton RSL Hall,,0,464 Marion Rd PLYMPTON PARK SA,,SA,Plympton Park,0,0,,,,,,,
140.9091398,-35.261544,Chaffey, ;  Assisted Wheelchair Access,Pinnaroo Institute,,0,Day St PINNAROO SA,,SA,Pinnaroo,0,0,,,,,,,
138.5507753,-34.8840877,Croydon,enter from Wilpena Tce.;  Full Wheelchair Access,Kilkenny Community Hall,,0,Cnr Tarcowie St & Wilpena Tce KILKENNY SA,,SA,Kilkenny,0,0,,,,,,,
136.4188398,-33.1385788,Giles, ;  Assisted Wheelchair Access,Kimba District Council,,0,Cnr West Tce & Cross St KIMBA SA,,SA,Kimba,0,0,,,,,,,
138.5252878,-34.9127396,Colton, ;  Full Wheelchair Access,Kidman Park Primary School,,0,Dean Ave KIDMAN PARK SA,,SA,Kidman Park,0,0,,,,,,,
138.588255,-34.862327,Enfield, ;  Full Wheelchair Access,St Brigid's Parish Hall,,0,43-45 Le Hunte St KILBURN SA,,SA,Kilburn,0,0,,,,,,,
138.5722535,-34.943371,Ashford, ;  Assisted Wheelchair Access,Richmond Primary School,,0,8 Surrey Rd KESWICK SA,,SA,Keswick,0,0,,,,,,,
,,Schubert,via Moculta Road;  No Wheelchair Access,Keyneton Primary School,,0,Moculta Road KEYNETON SA,,SA,Keyneton,0,0,,,,,,,
138.6230246,-34.919467,Dunstan,enter via Grenfell St;  No Wheelchair Access,Wesley Uniting Church,,0,Cnr Fullarton Rd & Grenfell St KENT TOWN SA,,SA,Kent Town,0,0,,,,,,,
138.8502035,-34.7832153,Schubert, ;  Assisted Wheelchair Access,Kersbrook Primary School,,0,Bowden St KERSBROOK SA,,SA,Kersbrook,0,0,,,,,,,
137.63313,-35.651167,Finniss, ;  Full Wheelchair Access,Kingscote Area School,,0,5 Centenary Rd KINGSCOTE SA,,SA,Kingscote,0,0,,,,,,,
139.855666,-36.837413,MacKillop, ;  Full Wheelchair Access,Kingston Community School,,0,46 East Tce KINGSTON SE SA,,SA,Kingston,0,0,,,,,,,
140.4583467,-37.5389662,MacKillop, ;  Assisted Wheelchair Access,Mount Burr United Netball Clubrooms,,0,Riddoch Ave MOUNT BURR SA,,SA,Mount Burr,0,0,,,,,,,
138.8534037,-35.0689221,Kavel, ;  Assisted Wheelchair Access,TAFE SA Mount Barker Campus,,0,Dumas St MOUNT BARKER SA,,SA,Mount Barker Central,0,0,,,,,,,
138.6090355,-34.9281031,Adelaide,enter off Wakefield St;  Full Wheelchair Access,Christian Brothers College,,0,214 Wakefield St ADELAIDE SA,,SA,Adelaide,0,0,,,,,,,
137.589886,-34.06738,Goyder, ;  Assisted Wheelchair Access,Moonta Town Hall,,0,67 George St MOONTA SA,,SA,Moonta,0,0,,,,,,,
138.7490351,-34.8966747,Morialta, ;  No Wheelchair Access,Montacute Institute,,0,63 Institute Rd MONTACUTE SA,,SA,Montacute,0,0,,,,,,,
140.367211,-34.28886,Chaffey, ;  Assisted Wheelchair Access,Moorook Community Hall,,0,644 Kingston Rd MOOROOK SA,,SA,Moorook,0,0,,,,,,,
140.7310887,-37.8641585,Mount Gambier, ;  Assisted Wheelchair Access,Moorak Public Hall,,0,Yells Rd MOORAK SA,,SA,Moorak,0,0,,,,,,,
138.5240626,-35.1226701,Reynell, ;  Assisted Wheelchair Access,St Hilary's Anglican Church,,0,1 High Street MORPHETT VALE SA,,SA,Morphett Vale,0,0,,,,,,,
139.669994,-34.033431,Stuart, ;  Assisted Wheelchair Access,Morgan Institute,,0,3 Ninth St MORGAN SA,,SA,Morgan,0,0,,,,,,,
138.517218,-35.1109569,Reynell, ;  Full Wheelchair Access,Wakefield House Positive Ageing Centre,,0,65 Acre Ave MORPHETT VALE SA,,SA,Morphett Vale North,0,0,,,,,,,
138.534059,-35.127814,Reynell, ;  Full Wheelchair Access,Wirreanda High School,,0,105 Richards Ave MORPHETT VALE SA,,SA,Morphett Vale East,0,0,,,,,,,
138.505836,-34.898174,Lee, ;  Full Wheelchair Access,Christian Family Centre,,0,185 Frederick Rd SEATON SA,,SA,Seaton West,0,0,,,,,,,
138.67363,-34.6802379,Taylor, ;  Full Wheelchair Access,John Hartley School,,0,199 Peachey Rd SMITHFIELD PLAINS SA,,SA,Smithfield Plains,0,0,,,,,,,
138.6712568,-34.7587905,Ramsay, ;  Assisted Wheelchair Access,Salisbury Park Primary School,,0,Wildwood Dr SALISBURY PARK SA,,SA,Salisbury Park,0,0,,,,,,,
138.8276692,-34.611704,Light, ;  Full Wheelchair Access,Sandy Creek Primary School,,0,Davies Rd SANDY CREEK SA,,SA,Sandy Creek,0,0,,,,,,,
138.508657,-34.8848485,Cheltenham, ;  Full Wheelchair Access,Seaton High School,,0,Glenburnie St SEATON SA,,SA,Seaton,0,0,,,,,,,
138.520057,-34.894716,Cheltenham, ;  Full Wheelchair Access,Seaton Park Primary School,,0,80 Balcombe Ave SEATON SA,,SA,Seaton Park,0,0,,,,,,,
138.6763533,-34.900672,Hartley,enter via Moules Road;  Full Wheelchair Access,Norwood Morialta Middle School,,0,Morialta Rd West ROSTREVOR SA,,SA,Rostrevor South,0,0,,,,,,,
138.511895,-34.870653,Lee, ;  Assisted Wheelchair Access,United Church Royal Park,,0,50 Tapleys Hill Rd ROYAL PARK SA,,SA,Royal Park,0,0,,,,,,,
138.5114624,-34.8729983,Lee, ;  Assisted Wheelchair Access,Hendon Primary School,,0,Cedar Ave ROYAL PARK SA,,SA,Royal Park South,0,0,,,,,,,
138.635396,-34.753208,Taylor, ;  Assisted Wheelchair Access,Salisbury North R-7 School,,0,38 Bagster Rd SALISBURY NORTH SA,,SA,Salisbury North,0,0,,,,,,,
138.9710218,-35.4065606,Hammond, ;  Full Wheelchair Access,Eastern Fleurieu School (Milang Campus),,0,Coxe St MILANG SA,,SA,Milang,0,0,,,,,,,
138.7061591,-35.5080955,Finniss, ;  Full Wheelchair Access,Middleton Pioneer Hall,,0,Walker Pl MIDDLETON SA,,SA,Middleton,0,0,,,,,,,
139.3352051,-35.7235779,MacKillop, ;  Full Wheelchair Access,Meningie Uniting Church Hall,,0,Princes Hwy MENINGIE SA,,SA,Meningie,0,0,,,,,,,
138.187876,-32.82377,Stuart, ;  Assisted Wheelchair Access,Melrose Primary School,,0,29 Stuart St MELROSE SA,,SA,Melrose,0,0,,,,,,,
138.5915852,-34.9561663,Unley,enter via Mitchell Street to Orphanage car park;  Full Wheelchair Access,Tabor Adelaide,,0,181 Goodwood Road MILLSWOOD SA,,SA,Millswood,0,0,,,,,,,
140.3619612,-37.6082383,MacKillop, ;  Assisted Wheelchair Access,Newbery Park Primary School,,0,Bridges St MILLICENT SA,,SA,Millicent South,0,0,,,,,,,
140.3503229,-37.592441,MacKillop, ;  Assisted Wheelchair Access,The Millicent War Memorial Civic and Arts Centre,,0,Ridge Tce MILLICENT SA,,SA,Millicent,0,0,,,,,,,
138.570192,-34.923014,West Torrens,via Taylors Lane;  Assisted Wheelchair Access,St George College,,0,75 Rose St MILE END SA,,SA,Mile End,0,0,,,,,,,
135.154575,-32.854147,Flinders, ;  No Wheelchair Access,Minnipa Memorial Hall,,0,24 Thomas St MINNIPA SA,,SA,Minnipa,0,0,,,,,,,
137.594417,-34.772432,Goyder, ;  Full Wheelchair Access,Minlaton Town Hall,,0,57 Main St MINLATON SA,,SA,Minlaton,0,0,,,,,,,
138.5987835,-34.741195,Taylor, ;  No Wheelchair Access,Burton Primary School,,0,49A Kensington Way BURTON SA,,SA,Burton,0,0,,,,,,,
138.938316,-33.682154,Stuart, ;  Assisted Wheelchair Access,Burra Town Hall,,0,4 Market St BURRA SA,,SA,Burra,0,0,,,,,,,
138.5356445,-34.93037,West Torrens,via May Terrace;  Full Wheelchair Access,Lockleys Primary School,,1,29 Elston St BROOKLYN PARK SA,,SA,Brooklyn Park South,0,0,,,,,,,
138.5488,-34.925984,West Torrens, ;  Assisted Wheelchair Access,Brooklyn Park Church of Christ,,1,9 Allen Ave BROOKLYN PARK SA,,SA,Brooklyn Park,0,0,,,,,,,
138.660348,-34.935375,Bragg, ;  Assisted Wheelchair Access,St David's Church Hall,,1,486 Glynburn Rd BURNSIDE SA,,SA,Burnside,0,0,,,,,,,
138.9399147,-35.0088809,Kavel, ;  Assisted Wheelchair Access,Brukunga Community Association,,0,Pyrites Rd BRUKUNGA SA,,SA,Brukunga,0,0,,,,,,,
138.403022,-33.694548,Frome, ;  Assisted Wheelchair Access,Brinkworth Memorial Hall,,0,49 Main St BRINKWORTH SA,,SA,Brinkworth,0,0,,,,,,,
138.521986,-35.016353,Bright, ;  Full Wheelchair Access,Brighton Uniting Church Hall,,0,443 Brighton Rd BRIGHTON SA,,SA,Brighton,0,0,,,,,,,
138.576368,-34.897937,Croydon, ;  Full Wheelchair Access,Bowden Brompton Community Centre,,0,19 Green St BROMPTON SA,,SA,Brompton,0,0,,,,,,,
138.6154099,-34.8803329,Enfield,from Collingrove Ave;  Full Wheelchair Access,Broadview Uniting Church,,1,cnr Galway & Collingrove Ave BROADVIEW SA,,SA,Broadview,0,0,,,,,,,
138.5989846,-35.0590534,Fisher, ;  Full Wheelchair Access,Aberfoyle Park Baptist Church Hall,,0,Cnr Manning Rd & Lyn St ABERFOYLE PARK SA,,SA,Aberfoyle Park North,0,0,,,,,,,
138.6122553,-35.3198787,Finniss, ;  Full Wheelchair Access,Yundi War Memorial Hall,,0,482 Yundi Road  YUNDI SA,,SA,Yundi,0,0,,,,,,,
137.606748,-35.019615,Goyder, ;  Full Wheelchair Access,Yorketown Town Hall,,0,15 Edithburgh Rd YORKETOWN SA,,SA,Yorketown,0,0,,,,,,,
138.337295,-35.4555245,Finniss, ;  Full Wheelchair Access,Yankalilla Area School Jubilee Hall,,0,207 Main Rd YANKALILLA SA,,SA,Yankalilla,0,0,,,,,,,
140.8582494,-37.8786917,Mount Gambier, ;  Full Wheelchair Access,Yahl Primary School,,0,Lange Rd YAHL SA,,SA,Yahl,0,0,,,,,,,
138.4446241,-33.5708659,Frome, ;  Full Wheelchair Access,Yacka Hall,,0,Cnr Charles & Hawker Sts YACKA SA,,SA,Yacka,0,0,,,,,,,
138.6878279,-34.7996618,Wright, ;  No Wheelchair Access,Wynn Vale Primary School,,0,Sunnybrook Dr WYNN VALE SA,,SA,Wynn Vale,0,0,,,,,,,
135.466688,-33.048194,Flinders, ;  Assisted Wheelchair Access,Wudinna Senior Citizens Hall,,0,20 Naylor Tce WUDINNA SA,,SA,Wudinna,0,0,,,,,,,
138.6459039,-34.6443311,Light, ;  Full Wheelchair Access,Angle Vale Primary School,,0,Heaslip Rd ANGLE VALE SA,,SA,Angle Vale,0,0,,,,,,,
138.6597471,-34.6754486,Taylor, ;  Assisted Wheelchair Access,St Columba College,,0,President Ave ANDREWS FARM SA,,SA,Andrews Farm,0,0,,,,,,,
138.6779515,-34.7261161,Little Para, ;  Assisted Wheelchair Access,Elizabeth East Primary School,,0,15 Dolphin St ELIZABETH EAST SA,,SA,Elizabeth East,0,0,,,,,,,
138.6953271,-34.6993311,Napier,via school carpark;  Assisted Wheelchair Access,Elizabeth Downs Primary School,,0,Heard St ELIZABETH DOWNS SA,,SA,Elizabeth Downs,0,0,,,,,,,
138.6847113,-34.7133365,Little Para, ;  Assisted Wheelchair Access,Elizabeth Park Primary School,,0,15 Turner Rd ELIZABETH PARK SA,,SA,Elizabeth Park,1,0,,,,,,,
138.6709367,-34.7319216,Little Para,Wheelchair access from Smitham Street;  Assisted Wheelchair Access,Elizabeth Grove Primary School,,0,20 Haynes St ELIZABETH GROVE SA,,SA,Elizabeth Grove,0,0,,,,,,,
139.1148178,-34.6051894,Schubert, ;  Assisted Wheelchair Access,Eden Valley Lutheran Church Hall,,0,Cnr Murray St & Keyneton Rd EDEN VALLEY SA,,SA,Eden Valley,0,0,,,,,,,
138.6057507,-35.025144,Davenport, ;  Full Wheelchair Access,Blackwood Primary School,,0,Seymour St EDEN HILLS SA,,SA,Eden Hills,0,0,,,,,,,
138.6683857,-34.7157514,Little Para, ;  Assisted Wheelchair Access,Church of the Holy Cross,,0,Elizabeth Way ELIZABETH SA,,SA,Elizabeth,0,0,,,,,,,
137.7458176,-35.0848371,Goyder, ;  Full Wheelchair Access,Edithburgh Institute,,0,Blanche St EDITHBURGH SA,,SA,Edithburgh,0,0,,,,,,,
138.6695983,-34.7469318,Little Para, ;  Assisted Wheelchair Access,Elizabeth Vale Primary School,,0,Rollison Rd ELIZABETH VALE SA,,SA,Elizabeth Vale,0,0,,,,,,,
138.6606989,-34.731101,Little Para, ;  Assisted Wheelchair Access,Elizabeth South Primary School,,0,Chivell St ELIZABETH SOUTH SA,,SA,Elizabeth South,1,0,,,,,,,
138.491278,-34.855121,Lee, ;  Full Wheelchair Access,Westport Primary School,,0,53 West St SEMAPHORE PARK SA,,SA,Semaphore Park South,0,0,,,,,,,
138.4860517,-34.8523476,Lee, ;  No Wheelchair Access,Baptist Church Semaphore Park,,0,Bray Ave SEMAPHORE PARK SA,,SA,Semaphore Park,0,0,,,,,,,
138.4811249,-35.186494,Kaurna, ;  Full Wheelchair Access,All Saints Catholic Primary School,,0,621-631 Grand Boulevard SEAFORD SA,,SA,Seaford East,0,0,,,,,,,
138.4733565,-35.1898521,Kaurna, ;  Full Wheelchair Access,Moana Primary School,,0,Schooner Rd SEAFORD SA,,SA,Seaford,0,0,,,,,,,
138.5348443,-35.0426383,Mitchell, ;  No Wheelchair Access,Seaview Downs Primary School,,0,26-44 Ross St SEAVIEW DOWNS SA,,SA,Seaview Downs,0,0,,,,,,,
138.4830247,-35.20168,Kaurna,enter off Barbados Drive;  Assisted Wheelchair Access,Seaford Rise Primary School,,0,Grand Blvd SEAFORD RISE SA,,SA,Seaford Rise,0,0,,,,,,,
139.3228995,-34.5730304,Schubert,via Stott Highway;  Assisted Wheelchair Access,Sedan Hall,,0,Stott Highway SEDAN SA,,SA,Sedan,0,0,,,,,,,
138.2278308,-35.5280403,Finniss, ;  Assisted Wheelchair Access,Second Valley Soldiers Memorial Hall,,0,Cnr Main South Rd & Finniss Vale Dr SECOND VALLEY SA,,SA,Second Valley,0,0,,,,,,,
138.484715,-34.839359,Lee, ;  Assisted Wheelchair Access,Masonic Hall,,0,66 Semaphore Rd SEMAPHORE SA,,SA,Semaphore,0,0,,,,,,,
