lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
146.16,-41.2627,,Assisted Disabled,Sprent Primary School,,0,1245 Castra Rd TAS 7315,,TAS,Sprent Primary School,0,0,,,,,,,
148.001,-41.2924,,Assisted Disabled,Pyengana War Memorial Hall,,0,St Columba Falls Rd TAS 7216,,TAS,Pyengana War Memorial Hall,0,0,,,,,,,
147.196,-42.985,,Assisted Disabled,Sandfly Hall,,0,811 Sandfly Rd TAS 7150,,TAS,Sandfly Hall,0,0,,,,,,,
146.34434,-41.21207,,Assisted Disabled,Spreyton Primary School,,0,1 Mersey Main Rd TAS 7310,,TAS,Spreyton Primary School,0,0,,,,,,,
146.492,-42.136,,Standard,Bronte Park Highland Village,,0,378 Marlborough Rd TAS 7140,,TAS,Bronte Park Highland Village,0,0,,,,,,,
147.327957,-43.360818,,Standard,Adventure Bay Hall,,0,706 Adventure Bay Rd TAS 7150,,TAS,Adventure Bay Hall,0,0,,,,,,,
145.977,-41.2345,,Assisted Disabled,South Riana Public Hall,,0,776 South Riana Rd TAS 7316,,TAS,South Riana Public Hall,0,0,,,,,,,
147.726,-41.7817,,Standard,Avoca Primary School,,0,26-30 St Pauls Pl TAS 7213,,TAS,Avoca Primary School,0,0,,,,,,,
146.889,-42.6969,,Standard,Glenora District High School,,0,620 Gordon River Rd TAS 7140,,TAS,Glenora District High School,0,0,,,,,,,
146.9795856,-43.4341277,,Assisted Disabled,Southport Fire Station,,0,3 Cathkit St TAS 7109,,TAS,Southport Fire Station,0,0,,,,,,,
147.239,-43.1601,,Assisted Disabled,Woodbridge Hall,,0,3445 Channel Hwy TAS 7162,,TAS,Woodbridge Hall,0,0,,,,,,,
145.729,-40.9909,,Assisted Disabled,Senior Citizens Club Rooms,,0,28 Jackson St TAS 7325,,TAS,Senior Citizens Club Rooms,0,0,,,,,,,
145.717,-40.9867,,Assisted Disabled,Wynyard High School,,1,30 Church St TAS 7325,,TAS,Wynyard High School,0,0,,,,,,,
145.719,-41.1237,,Assisted Disabled,Yolla District High School,,0,School La TAS 7325,,TAS,Yolla District High School,0,0,,,,,,,
147.164,-41.4823,,Assisted Disabled,Youngtown Primary School,,0,Napier St TAS 7249,,TAS,Youngtown Primary School,0,0,,,,,,,
147.126,-42.6567,,Assisted Disabled,Broadmarsh Hall,,0,1218 Elderslie Rd TAS 7030,,TAS,Broadmarsh Hall,0,0,,,,,,,
145.34,-41.888,,Assisted Disabled,Zeehan Primary School,,0,7 Belstead St TAS 7469,,TAS,Zeehan Primary School,0,0,,,,,,,
145.836367,-41.043137,,Assisted Disabled,Somerset Primary School,,0,8 Wragg Street TAS 7322,,TAS,Somerset Primary School,0,0,,,,,,,
147.255,-43.0664,,Assisted Disabled,Snug Primary School,,0,Channel Hwy TAS 7054,,TAS,Snug Primary School,0,0,,,,,,,
145.986,-41.0751,,Assisted Disabled,Blythe Heads Hall,,0,Sice Ave TAS 7316,,TAS,Blythe Heads Hall,0,0,,,,,,,
145.806,-41.1904,,Standard,Highclere Community Centre,,0,1558 Ridgley Hwy TAS 7321,,TAS,Highclere Community Centre,0,0,,,,,,,
145.565,-40.9181,,Standard,Sisters Beach Fire Station,,0,Honeysuckle Ave TAS 7321,,TAS,Sisters Beach Fire Station,0,0,,,,,,,
146.887,-41.2221,,Assisted Disabled,Sidmouth Community Centre,,0,255 Batman Hwy TAS 7270,,TAS,Sidmouth Community Centre,0,0,,,,,,,
145.127,-40.8427,,Standard,Smithton Uniting Church Hall,,0,45 Goldie St TAS 7330,,TAS,Smithton Uniting Church Hall,0,0,,,,,,,
145.586,-40.9605,,Assisted Disabled,Sisters Creek Hall,,0,17894 Bass Hwy TAS 7321,,TAS,Sisters Creek Hall,0,0,,,,,,,
146.923,-42.6444,,Standard,Gretna (St Mary's Parish) Hall,,0,3548 Lyell Hwy TAS 7140,,TAS,Gretna (St Mary's Parish) Hall,0,0,,,,,,,
146.039,-41.2774,,Assisted Disabled,Gunns Plains Hall,,0,957 Gunns Plains Rd TAS 7315,,TAS,Gunns Plains Hall,0,0,,,,,,,
144.058,-40.0484,,Standard,Grassy Club,,0,10 Grassy Rd TAS 7256,,TAS,Grassy Club,0,0,,,,,,,
146.973,-41.2939,,Assisted Disabled,Gravelly Beach Main Hall,,0,Edinburgh Park Off Gravelly Beach Rd TAS 7276,,TAS,Gravelly Beach Main Hall,0,0,,,,,,,
146.83,-42.5597,,Assisted Disabled,Hamilton Hall,,0,Tarleton St TAS 7140,,TAS,Hamilton Hall,0,0,,,,,,,
145.911,-41.0836,,Assisted Disabled,Havenview Primary School,,0,15 Marriott St TAS 7320,,TAS,Havenview Primary School,0,0,,,,,,,
147.064,-41.5064,,Assisted Disabled,Hadspen Uniting Church Centre,,0,47 Main St TAS 7290,,TAS,Hadspen Uniting Church Centre,0,0,,,,,,,
