lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,has_run_out,has_other,first_report,latest_report
144.908699,-37.705729,Pascoe Vale District,,Glenroy West,,0, York Street Glenroy 16 E2,,VIC,Glenroy West Primary School,0,0,,,,,,
145.075953,-37.979051,Mordialloc District,,Mentone North,,0, 38 Levanto Street Mentone 87 C5,,VIC,Mentone Scout Hall,0,0,,,,,,
144.58844,-37.49086,Macedon District,,Gisborne,,0, 35 Fisher Street Gisborne 636 C8,,VIC,Gisborne Primary School,0,0,,,,,,
144.958984,-37.721808,Pascoe Vale District,,Merlynston,,0, Glyndon Avenue Coburg North 17 G7,,VIC,St Linus Church Hall,0,0,,,,,,
144.951874,-37.735685,Pascoe Vale District,,Coburg North,,1, 180 O'Hea Street Coburg 17 E11,,VIC,Coburg North Primary School,0,1,,,,,,
145.0941,-37.98964,Mordialloc District,,Parkdale East,,0, Warren Road Mordialloc East 87 G8,,VIC,Parkdale Secondary College,0,0,,,,,,
144.759823,-37.716619,Sydenham District,,Taylors Hill,,0, corner Loddon Drive and Watervale Boulevard Taylors Hill 13 A5,,VIC,Taylors Hill Primary School,0,0,,,,,,
144.792733,-37.707103,Sydenham District,,Taylors Lakes Central,,0, 12784 Parmelia Drive Taylors Lakes 13 J3,,VIC,Taylors Lakes Secondary College,0,0,,,,,,
145.707341,-38.369791,Gippsland South District,,Loch,,0, Smith Street Loch 96 D7,,VIC,Loch Public Hall,0,0,,,,,,
145.086458,-38.004085,Mordialloc District,,Mordialloc East,,0, 37 Albert Street Mordialloc 87 E12,,VIC,Allan McLean Hall,0,0,,,,,,
144.7621,-37.70218,Sydenham District,,Sydenham,,0, Community Hub Sydenham 13 B1,,VIC,Sydenham Hillside Primary School - Sydenham Campus,0,0,,,,,,
144.777331,-37.718169,Sydenham District,,Delahey,,0, 29-35 Goldsmith Avenue Delahey 13 F6,,VIC,MacKellar Primary School,0,0,,,,,,
144.89082,-37.68921,Sunbury District,,Gladstone Park,,0, Taylor Drive Gladstone Park 6 A10,,VIC,Gladstone Park Secondary College,0,0,,,,,,
145.71286,-38.51511,Gippsland South District,,Kongwak,,0, 1445 Wonthaggi-Korumburra Road Kongwak 102 E2,,VIC,Kongwak Primary School,0,0,,,,,,
144.774786,-37.68901,Sydenham District,,Taylors Lakes North,,0, 39-57 Robertsons Road Taylors Lakes 3 E10,,VIC,Overnewton Anglican Community,0,0,,,,,,
144.771428,-37.699071,Sydenham District,,Sydenham East,,0, 380 Sydenham Road (access via Pecks Road) Sydenham 13 D1,,VIC,Catholic Regional College Sydenham,0,0,,,,,,
144.73867,-37.71118,Sydenham District,,Springside,,0, Becca Way Caroline Springs 356 G4,,VIC,Caroline Springs College - Springside Campus,0,0,,,,,,
144.793223,-37.709293,Sydenham District,,Taylors Lakes,,0, Chichester Drive Taylors Lakes 13 J3,,VIC,Taylors Lakes Primary School,0,0,,,,,,
147.702843,-36.955047,Gippsland East District,,Benambra,,0, Gibbo Street Benambra VR 51 C9,,VIC,Benambra Public Hall,0,0,,,,,,
144.996841,-37.783513,Northcote District,,Westgarth,,1, corner High and Walker Streets Northcote 30 E12,,VIC,All Saints Parish Hall,0,0,,,,,,
146.783088,-37.893026,Gippsland East District,,Coongulla,,0, 5 Gillum Road Coongulla 82 E8,,VIC,Coongulla Hall,0,0,,,,,,
144.67978,-37.46122,Macedon District,,Riddell,,1, 69-77 Main Road Riddells Creek 425 F2,,VIC,Riddells Creek Primary School,0,1,,,,,,
145.022243,-37.771814,Northcote District,,Alphington North,,1, 34 Separation Street Fairfield 31 A8,,VIC,Alfred Nuttall Kindergarten,0,1,,,,,,
146.751051,-37.895041,Gippsland East District,,Glenmaggie,,0, 21 Glenfalloch Road Glenmaggie 82 E8,,VIC,Glenmaggie Mechanics Institute,0,0,,,,,,
144.997701,-37.774756,Northcote District,,Northcote,,0, 189 High Street Northcote 30 E9,,VIC,Northcote Town Hall,1,0,,,,,,
147.6081,-37.82454,Gippsland East District,,Bairnsdale West,,0, Wallace Street Bairnsdale 688 E7,,VIC,Bairnsdale West Primary School,0,0,,,,,,
144.98757,-37.76402,Northcote District,,Croxton,,1, 159-165 Beaconsfield Parade Northcote 30 C6,,VIC,Croxton School,0,1,,,,,,
145.651407,-37.753524,Eildon District,,Millgrove,,0, Cavanagh Road Millgrove 289 C4,,VIC,Millwarra Primary School (Millgrove Campus),0,0,,,,,,
144.993451,-37.803608,Richmond District,,Abbotsford,,1, 4 Eddy Court Abbotsford 2C H10,,VIC,Collingwood Senior Citizens Centre,0,0,,,,,,
144.996189,-37.812239,Richmond District,,Richmond North 106,,0, 106 Elizabeth Street Richmond 2G K2,,VIC,Community Hall 106,0,0,,,,,,
144.979901,-37.80212,Richmond District,,Atherton Gardens,,0, 201 Napier Street Fitzroy 2C B9,,VIC,Fitzroy Town Hall,1,0,,,,,,
144.98151,-37.7996,Richmond District,,Fitzroy,,1, 319 George Street Fitzroy 2C C7,,VIC,Fitzroy Primary School,0,1,,,,,,
145.007277,-37.814834,Richmond District,,Richmond Central,,1, corner Davison and Kent Streets Richmond 2H E4,,VIC,Yarra Primary School Hall,0,0,,,,,,
144.998439,-37.812512,Richmond District,,Richmond North 110,,0, 110 Elizabeth Street Richmond 2G K2,,VIC,Community Hall 110,0,0,,,,,,
144.990369,-37.802813,Richmond District,,Collingwood,,0, corner Cromwell Street and McCutcheon Way Collingwood 2C G9,,VIC,Collingwood Secondary College,0,0,,,,,,
145.205783,-37.828813,Ringwood District,,Mitcham South,,1, 27 Churinga Avenue Mitcham 49 B12,,VIC,Rangeview Primary School,0,1,,,,,,
144.997758,-37.821932,Richmond District,,Richmond,,1, 326 Church Street (access via The Vaucluse) Richmond 2H A7,,VIC,St Ignatius Church Hall,0,0,,,,,,
144.999501,-37.840213,Prahran District,,Hawksburn,,0, 338 Toorak Road South Yarra 2M A6,,VIC,Toorak-South Yarra Library,1,0,,,,,,
145.372464,-37.649596,Eildon District,,Yarra Glen,,0, 35 Symond Street Yarra Glen 79 G4,,VIC,Yarra Glen Primary School,0,0,,,,,,
146.13787,-37.301954,Eildon District,,Jamieson,,0, 15 Perkins Street Jamieson 330 C10,,VIC,Jamieson Memorial Hall,0,0,,,,,,
144.992476,-37.858273,Prahran District,,St Kilda East,,0, 2 Chapel Street St Kilda 2P H4,,VIC,All Saints St Kilda East,0,0,,,,,,
145.009481,-37.852297,Prahran District,,Orrong,,1, 7 Wynnstay Road East Prahran 2M F12,,VIC,Our Lady of Lourdes School,0,1,,,,,,
145.007383,-37.863222,Prahran District,,Alma,,0, 200 Alma Road St Kilda East 58 H9,,VIC,Alma Road Community House,1,0,No bbq as at 9:30am,,,,,
145.500229,-36.975545,Euroa District,,Ruffy,,0, Nolans Road Ruffy 47 A9,,VIC,Ruffy Public Hall,0,0,,,,,,
145.009713,-37.844907,Prahran District,,Toorak Central,,1, Canterbury Road Toorak 2M F8,,VIC,Toorak Primary School,0,1,Artisan market!,,,,,
145.238248,-37.990724,Dandenong District,,Doveton West,,0, 100 Power Road Doveton 90 J8,,VIC,Holy Family Parish / Primary School,0,0,,,,,,
